cause_of_death, count
brain trauma ,1
deputi head of minustah ,1
complic relat to a stroke ,1
liver and kidney diseas ,1
complic follow intestin surgeri ,1
burn from helicopt crash ,1
iron overload ,1
accident combin drug intox ,1
appar heart failur ,1
complic from cardiac surgeri ,1
winner of the 1986 prix de psychì© and prix vermeil ,1
stroke complic ,1
post-surgeri complic ,1
1990 world junior champion ,1
arteriosclerosi ,1
non-hodgkin' lymphoma ,1
faroes literatur prize recipi ,1
pancreat and liver cancer ,1
amniot fluid embol ,1
stroke follow a fall ,1
bleed from stomach ulcer ,1
ambassador to franc and switzerland ,1
atv accid ,1
bechterew' diseas ,1
1955 world seri mvp ,1
complic of emphysema ,1
singer and varieti artist ,1
co-found of rogu ale ,1
complic from fall ,1
cardiac arrest follow car accid ,1
head injuri from fall ,1
complic from brain cancer ,1
from injuri sustain in a bike accid ,1
blood disord ,1
acut erythroid leukaemia ,1
mediastinum cancer ,1
complic from stomach surgeri ,1
complic of hepat C ,1
fbi most want terrorist ,1
choke ,1
multipl myeloma and blood cancer ,1
seizur ,1
essayist and historian ,1
renal diseas ,1
after a short ill ,1
septic infect ,1
euthan due to lymphoma ,1
arvc ,1
pulmonari oedema ,1
dementia and parkinson' diseas ,1
ampullari cancer ,1
injuri follow assault ,1
cardiac arrest and arrhythmia ,1
bronchiectasi ,1
co-creat of wolverin ,1
four-tim mayor of san jose del mont ,1
decapit ,1
complic of a heart attack ,1
cerebrovascular diseas ,1
convict of war crime and crime against human dure the civil war ,1
poem syndrom ,1
accident cocain overdos ,1
stroke as a complic of an aortic aneurysm ,1
edema ,1
adenoid cystic carcinoma ,1
spinal injuri from traffic collis ,1
liga I top scorer in 1964 ,1
musicologist and radio present ,1
cardiovascular attack ,1
injuri dure home invas ,1
idiopath epilepsi seizur ,1
complic from malaria ,1
accident overdos of hydrocodon and morphin ,1
actor ,1
complic of colorect cancer ,1
progress supranuclear palsi ,1
shot dure manila hostag crisi ,1
complic from a traffic collis ,1
hepat A ,1
brain and sinu cancer ,1
swine flu ,1
stomach aneurysm ,1
epilept seizur ,1
coccidiosi ,1
MP for charlevoix ,1
convict of conspiraci to murder and firearm possess ,1
degen brain diseas ,1
intestin cancer ,1
kidney and liver failur ,1
i explos ,1
traumat aortic ruptur ,1
heart failur and brain hemorrhag ,1
winner of the 1965‰ûò66 european cup ,1
colon and lung cancer ,1
recipi of the J ,1
accident alcohol poison ,1
tongu cancer ,1
complic of car accid ,1
thymic cancer ,1
complic from copd ,1
chairman of arm hold ,1
farm accid ,1
whistleblow of the 2011 phone hack scandal ,1
coronari embol ,1
myelofibrosi ,1
chronic pulmonari diseas ,1
1968 olymp gold medalist ,1
improvis explos devic ,1
complic dure surgeri ,1
accident asphyxi ,1
metropolitan of vyatka-slobodskoy ,1
blood cancer and renal failur ,1
suicid by drown ,1
olymp ,1
complic of pulmonari emphysema ,1
heart failur and emphysema ,1
blood clot after heart surgeri ,1
complic from a heart procedur ,1
Mr ,1
brain aneur ,1
sleep apnea ,1
stroke from vertebr arteri dissect ,1
fall tree ,1
canadian broadcast corpor ,1
lewi bodi dementia ,1
hit-and-run ,1
viral pneumonia ,1
